participant.id_in_session,participant.code,participant.label,participant._current_app_name,participant.time_started,player.id_in_group,player.contribution,player.remaining_points,player.pointsLost,player.flagPointsLost,player.pointsWonNorms,player.automatic_decision,player.num_automatic_decisions,player.empiricalExpectations1,player.empiricalExpectations2,player.empiricalExpectations3,player.empiricalExpectations4,player.personalNormativeBeliefs1,player.personalNormativeBeliefs2,player.personalNormativeBeliefs3,player.personalNormativeBeliefs4,player.normativeExpectations1,player.normativeExpectations2,player.normativeExpectations3,player.normativeExpectations4,player.question_1,player.question_2,player.question_3,player.payoff,group.id_in_subsession,group.group_effort,group.flagGroupSuccess,subsession.round_number,session.code,team
7,wyl91mv0,0,dospert,2021-05-20,3,18.0,38,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,18,1,10,every_round,2
8,xr9y038f,0,dospert,2021-05-20,4,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,2,18,1,10,every_round,2
1,p5umqf5d,0,dospert,2021-05-20,1,10.0,44,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,10,1,11,every_round,0
2,tzu84qb2,0,dospert,2021-05-20,2,0.0,27,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,10,1,11,every_round,0
3,dqtxw00g,0,dospert,2021-05-20,3,0.0,17,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,10,1,11,every_round,0
4,mmmm8woz,0,dospert,2021-05-20,4,0.0,37,0,0,0,0,0,,,,,,,,,,,,,,,,0.0,1,10,1,11,every_round,0
5,dxffus5v,0,dospert,2021-05-20,1,0.0,47,16,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,18,1,11,every_round,2
6,1qtczwvg,0,dospert,2021-05-20,2,0.0,28,9,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,18,1,11,every_round,2
7,wyl91mv0,0,dospert,2021-05-20,3,18.0,15,5,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,18,1,11,every_round,2
8,xr9y038f,0,dospert,2021-05-20,4,0.0,0,0,1,0,0,0,,,,,,,,,,,,,,,,0.0,2,18,1,11,every_round,2
1,p5umqf5d,0,dospert,2021-05-20,1,0.0,44,0,0,2,0,0,,,,,,,,,,,,,,,,44.0,1,0,1,12,every_round,0
2,tzu84qb2,0,dospert,2021-05-20,2,0.0,27,0,0,0,0,0,,,,,,,,,,,,,,,,27.0,1,0,1,12,every_round,0
3,dqtxw00g,0,dospert,2021-05-20,3,0.0,17,0,0,2,0,0,,,,,,,,,,,,,,,,17.0,1,0,1,12,every_round,0
